HabitCode | MessageType | Slot | AgeGroup | Gender | Variant | Text
PHG08 | E | ---  | ANY  | ANY | V1 | عالی! روتین بهداشتی‌تو رعایت کردی 👏
PHG08 | E | ---  | ANY  | ANY | V2 | تمیزی‌ت به چشم میاد؛ دمت گرم.
PHG08 | E | ---  | ANY  | ANY | V3 | سلامتت رو جدی گرفتی—آفرین.

PHG08 | F | ---  | ANY  | ANY | V1 | نرسیدی؟ همین الان مسواک بزن.
PHG08 | F | ---  | ANY  | ANY | V2 | امروز سخت بود؟ فردا دقیق‌تر باش.
PHG08 | F | ---  | ANY  | ANY | V3 | حتی یک بار در روز هم شروع خوبیه.

PHG08 | P | ---  | ANY  | ANY | V1 | امروز بیشتر از دیروز روتینت رو رعایت کردی.
PHG08 | P | ---  | ANY  | ANY | V2 | سه روز پیاپی بهداشت فردی داشتی—عالیه.
PHG08 | P | ---  | ANY  | ANY | V3 | بدنت داره تشکر می‌کنه؛ ادامه بده.

PHG08 | T | MOR  | KID   | ANY | V1 | مسواک صبح = دندون‌های قوی مثل قهرمان 🦷
PHG08 | T | EVE  | TEEN  | ANY | V1 | پوستت با شست‌وشوی عصرگاهی سالم‌تر می‌مونه.
PHG08 | T | PRE  | YOUNG | F   | V1 | روتین پوستی شب رو جدی بگیر ✨
PHG08 | T | PRE  | OLD   | ANY | V1 | مسواک آرام و دقیق؛ لثه‌هات حساس‌ترن.

PHG09 | T | MOR  | ANY  | ANY | V1 | دارو/مکملت رو طبق برنامت مصرف کردی؟
PHG09 | T | MOR  | ANY  | ANY | V2 | صبح‌ها یادت نره: قرص/ویتامینِ امروز؟
PHG09 | T | MOR  | ANY  | ANY | V3 | برنامه سلامتت: دوزِ صبح چک شد؟

PHG09 | T | NOON | ANY  | ANY | V1 | نیم‌روز؛ اگر نوبتِ دارو داری، الان وقتشه.
PHG09 | T | NOON | ANY  | ANY | V2 | همراه ناهار، دوزِ مقرر رو یادت نره (طبق برچسب).
PHG09 | T | NOON | ANY  | ANY | V3 | زمان‌بندی دارو کلید اثرشه—وضعیتِ امروز؟

PHG09 | T | AFT  | ANY  | ANY | V1 | عصر اگر دوز داری، با یک لیوان آب بخور 💧
PHG09 | T | AFT  | ANY  | ANY | V2 | میانی روز = بررسی نوبت مصرف.
PHG09 | T | AFT  | ANY  | ANY | V3 | روتین عصرانه‌ت با دارو/مکمل کامل شد؟

PHG09 | T | EVE  | ANY  | ANY | V1 | شب؛ اگر نوبت داری، همین حالا ثبتش کن.
PHG09 | T | EVE  | ANY  | ANY | V2 | دوزِ شب مصرف شد؟ یادداشت کن تا یادت نره.
PHG09 | T | EVE  | ANY  | ANY | V3 | یک دقیقه وقت بگذار؛ دارو/ویتامین امشب چک.

PHG09 | T | PRE  | ANY  | ANY | V1 | قبل خواب: نوبتِ باقی‌مانده‌ای داری؟
PHG09 | T | PRE  | ANY  | ANY | V2 | جعبهٔ دارو رو برای فردا آماده کن (پیل‌باكس).
PHG09 | T | PRE  | ANY  | ANY | V3 | زنگ یادآور فردا رو تنظیم کن؛ خیالِ راحت.

